date,momentum_vol
2026-02-21,20.4352
2026-02-20,26.9969
2026-02-20,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-21,27.0209
2026-02-22,27.0209
2026-02-23,26.9289
2026-02-24,26.7846
2026-02-24,26.3264
2026-02-24,20.8833
2026-02-24,20.8833
2026-02-24,26.2349
2026-02-28,26.6076
2026-03-01,26.6076
2026-03-09,26.3468
2026-03-15,26.2348
2026-03-16,26.3336
2026-03-16,26.3289
2026-04-14,26.5765
2026-04-14,26.5765
2026-07-28,17.5590
2026-07-28,17.5590
2026-07-28,27.0731
2026-07-28,27.0782
2026-07-29,27.0592
2026-08-10,26.1484
2026-08-12,26.1671
2026-08-14,26.1394
2026-08-20,26.1025
2026-08-21,26.3061
2026-08-24,26.3798
2026-08-25,26.1564
2026-08-26,25.9750
2026-08-26,25.9022
2026-08-27,25.9022
2026-08-28,25.6856
2026-08-31,25.7613
2026-09-01,25.9907
2026-09-02,25.9648
